gene_symbol,Steap3
parameter_name,center - distance
mouse_life_stage,Early adult
pvalue,0.4593839
analysis_id,4qtz4e2kmvd7416
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:1915678
