gene_symbol,Ahctf1
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:1915033
parameter_name,Periphery resting time
mouse_strain,C57BL
analysis_id,03r70aw9u628eh5
pvalue,0.08214219
mouse_life_stage,Early adult
