analysis_id,4671l3f8c1om0j1
parameter_id,MGP_MLN_066_001
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.9701399
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
