parameter_name,Click-evoked ABR threshold
pvalue,0.7063093
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ABR_002_001
analysis_id,d6mv4t02h4887e0
gene_symbol,Inpp1
gene_accession_id,MGI:104848
