parameter_name,Aggression
mouse_life_stage,Early adult
pvalue,0.4886112
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
analysis_id,8qn8j750991lmw5
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
