gene_symbol,Mgst2
parameter_id,JAXLA_CSD_022_001
pvalue,0.3768429
mouse_life_stage,Early adult
analysis_id,td3et5h9255e5e2
mouse_strain,C57BL
gene_accession_id,MGI:2448481
parameter_name,Hindlimbs - size
