parameter_name,Bone Mineral Content
gene_symbol,Dnaaf9
analysis_id,92j764b43tw31gy
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
mouse_strain,C57BL
pvalue,0.1582751
parameter_id,ESLIM_005_001_005
