parameter_name,BMC/Body weight
mouse_life_stage,Early adult
mouse_strain,C51BL
parameter_id,JAXLA_DXA_007_001
analysis_id,cr4905kg26lg4cl
pvalue,0.08587013
gene_symbol,Cds2
gene_accession_id,MGI:1332236
