analysis_id,58nhkn96e630mf5
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
parameter_name,KLRG1+ mature NK cell percentage
gene_symbol,Dnajc6
mouse_strain,C57BL
pvalue,0.1160129
parameter_id,MGP_PBI_011_001
