analysis_id,s39z5366rvljkmd
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
gene_symbol,Bcs1l
parameter_id,MGP_MLN_001_001
gene_accession_id,MGI:1914071
pvalue,0.3332086
