gene_symbol,Ddx27
analysis_id,23wkd5xdwo9cwr0
pvalue,0.7296169
parameter_id,MGP_IMM_100_001
mouse_life_stage,Early adult
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:2385884
