gene_symbol,Hnf4a
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.5294898
gene_accession_id,MGI:109128
parameter_name,White blood cell count
analysis_id,qz9l5ti303bw51q
parameter_id,IMPC_HEM_001_001
