analysis_id,2pv23763657z6d6
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_078_001
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:2140475
mouse_strain,C57BL
pvalue,0.5863164
