analysis_id,a76qt40q6p79i44
mouse_life_stage,Early adult
parameter_id,MGP_IMM_015_001
pvalue,0.8627406
gene_accession_id,MGI:2653612
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,Amigo1
