parameter_name,Center resting time
gene_symbol,Lpgat1
mouse_life_stage,Early adult
analysis_id,6yg1650nmwi8e95
pvalue,0.1477977
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_id,JAX_OFD_015_001
