analysis_id,23b96v31whxu126
mouse_strain,C57BL
gene_accession_id,MGI:1923959
parameter_id,MGP_MLN_033_001
pvalue,0.6177516
gene_symbol,Arpc2
parameter_name,Resting NK cells - % of NK cells
mouse_life_stage,Early adult
