analysis_id,e7mid90z2k5s73h
gene_symbol,Casq1
parameter_name,lens
pvalue,0.3518168
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_009
mouse_strain,C57BL
