parameter_name,Whole arena resting time
analysis_id,o2282e71cjk83k5
gene_symbol,Slc39a10
parameter_id,JAX_OFD_007_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
pvalue,0.1278115
mouse_strain,C57BL
