parameter_name,Limb grasp
analysis_id,50go8y8eib32ygp
parameter_id,IMPC_CSD_039_001
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
pvalue,0.9141455
gene_symbol,Rab3gap2
mouse_strain,C57BL
