analysis_id,0i78c96t0341f2t
gene_accession_id,MGI:109585
parameter_name,Hindlimb digit - size
gene_symbol,Pld1
pvalue,0.1646308
parameter_id,IMPC_CSD_047_001
mouse_strain,C57BL
mouse_life_stage,Early adult
