analysis_id,jrkcn5915zm2349
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.0627381
gene_symbol,MOV10
gene_accession_id,MGI:97054
parameter_id,ESLIM_011_001_703
parameter_name,Prepulse inhibition - PP3
