mouse_life_stage,Late adult
parameter_id,IMPC_GEO_011_001
mouse_strain,C57BL
analysis_id,08209c35kbtf645
parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:2140475
pvalue,0.6447086
gene_symbol,AU040320
