gene_symbol,Grem2
mouse_strain,C57BL
parameter_id,MGP_PBI_032_001
analysis_id,61gm9k1zu6x67g5
pvalue,0.4016272
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
gene_accession_id,MGI:1344367
