gene_symbol,Cd52
mouse_life_stage,Early adult
pvalue,0.7888529
mouse_strain,C57BL
parameter_name,PQ
parameter_id,IMPC_ECG_005_001
analysis_id,l3szz4372t02knp
gene_accession_id,MGI:1346088
