parameter_name,center - distance
analysis_id,b786wwllet38ok5
gene_symbol,Pld1
gene_accession_id,MGI:109585
pvalue,0.1790051
parameter_id,M-G-P_007_001_010
mouse_strain,C57BL
mouse_life_stage,Early adult
