gene_symbol,Gpbp1l1
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
analysis_id,0ovg72tdj0399oz
mouse_life_stage,Early adult
pvalue,0.3956036
parameter_name,Glucose
gene_accession_id,MGI:1924360
