parameter_name,Phosphorus
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,IMPC_CBC_010_001
mouse_strain,C57BL
pvalue,0.7375211
analysis_id,qx99972fpua0208
mouse_life_stage,Late adult
