parameter_name,Total T cell percentage
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_id,MGP_PBI_001_001
pvalue,0.5089482
analysis_id,037z28i6y4546f7
mouse_life_stage,E12.5
