analysis_id,56nfzd9119o561n
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
parameter_id,HMGULA_CBC_018_001
parameter_name,Glucose
pvalue,0.08761109
