parameter_name,Neutrophil cell count
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
analysis_id,0v72qe8xt22ht40
pvalue,0.970442
gene_symbol,Steap3
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
