mouse_life_stage,Late adult
analysis_id,bog521be3mwzuv0
parameter_name,UIBC (unsaturated iron binding capacity)
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
mouse_strain,C51BL
parameter_id,IMPC_CBC_024_001
pvalue,0.479449
