analysis_id,9g69w0h7808vazi
parameter_name,Lumbar processes
gene_accession_id,MGI:105073
parameter_id,IMPC_XRY_065_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5371276
gene_symbol,Tnni1
