analysis_id,262558427wyozko
parameter_id,MGP_PBI_040_001
gene_symbol,Eprs1
parameter_name,Eosinophil number
pvalue,0.6481277
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
