gene_symbol,Rigi
gene_accession_id,MGI:2442858
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of cDC
mouse_life_stage,Early adult
pvalue,0.1698382
parameter_id,MGP_IMM_067_001
analysis_id,o3nf2239990k716
