analysis_id,mcb7w73418iwf59
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Tbl1xr1
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.5111178
gene_accession_id,MGI:2441730
