analysis_id,779ug7x7n57tie2
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8605543
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
parameter_id,IMPC_CSD_007_001
