analysis_id,k16c1oz1m2u9upx
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ntmt2
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:2685053
pvalue,0.9343406
