analysis_id,37j94y44w9ur543
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
gene_symbol,Slc45a3
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
mouse_strain,C57BL
pvalue,0.478089
