parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:2444777
analysis_id,h8p42h1e88p5ws4
mouse_strain,C57BL
pvalue,0.962983
mouse_life_stage,Early adult
gene_symbol,Ncaph
