analysis_id,64557b9gq0j998a
pvalue,0.9403887
gene_symbol,Mapkap1
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:2444554
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
mouse_life_stage,Early adult
