analysis_id,fk32kt807256214
mouse_strain,C57BL
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
parameter_id,MGP_CSD_008_001
parameter_name,Startle response
pvalue,0.1879993
gene_symbol,Bcs1l
