analysis_id,j32v9262ge4ya32
pvalue,0.634991
gene_accession_id,MGI:1916363
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
gene_symbol,Alkbh3
parameter_id,MGP_IMM_101_001
