analysis_id,tpx0moh6c221qw0
pvalue,0.9846763
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Snrpb2
parameter_id,MGP_IMM_101_001
gene_accession_id,MGI:104805
