gene_symbol,Sfpq
analysis_id,9vhl119v39m23ep
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.379163
parameter_id,JAXLA_GRS_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
