gene_symbol,Cpa3
mouse_life_stage,Early adult
parameter_id,MGP_PBI_030_001
analysis_id,5agskvp2lbg59z5
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
gene_accession_id,MGI:88479
pvalue,0.5566595
