gene_symbol,Med22
mouse_strain,C57BL
parameter_name,Red blood cell count
pvalue,0.6335857
gene_accession_id,MGI:98446
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_002
analysis_id,36q65124vl7361d
