analysis_id,np46wc88p5t5ijg
mouse_life_stage,Early adult
pvalue,0.4365662
mouse_strain,C57BL
gene_symbol,Sfpq
parameter_name,Periphery average speed
parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:1918764
