analysis_id,21f042q5097awo2
mouse_life_stage,Early adult
pvalue,0.2259013
parameter_id,MGP_IMM_110_001
parameter_name,Transitional 1 B cells - % of CD45+
gene_symbol,Golm2
gene_accession_id,MGI:2443129
mouse_strain,C57BL
