parameter_name,Time mobile light side
parameter_id,JAX_LDT_003_001
gene_symbol,Fpgs
mouse_strain,C57BL
analysis_id,8220d8rku602293
pvalue,0.7587148
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
