analysis_id,98mz8586706f9v1
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
pvalue,0.9350664
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_life_stage,Early adult
