mouse_life_stage,Middle aged adult
gene_symbol,Hnf4a
mouse_strain,C57BL
gene_accession_id,MGI:109128
pvalue,0.1762472
analysis_id,10m55612qiay661
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
