parameter_name,Total cholesterol
pvalue,0.9120437
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
analysis_id,7qc6vwc7ty00999
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
