parameter_name,Hindpaw - size
gene_accession_id,MGI:1332236
mouse_strain,C57BL
gene_symbol,Cds2
pvalue,0.9077496
analysis_id,2t1393t627lo9cn
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_041_002
