analysis_id,r54i95n3ri2d6a4
pvalue,0.288795
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
parameter_name,Center average speed
mouse_life_stage,Early adult
