analysis_id,785q2l9cy61210g
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_name,Mean-cell-volume
parameter_id,M-G-P_016_001_005
mouse_life_stage,E12.5
pvalue,0.293608
mouse_strain,C57BL
