parameter_name,Global prepulse inhibition
mouse_strain,C57BL
gene_accession_id,MGI:1339969
gene_symbol,Gja10
analysis_id,8m2l04v2iadm5sa
pvalue,0.1753647
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
