analysis_id,9gocwyp1suxx592
mouse_strain,129SV
gene_accession_id,MGI:1918025
pvalue,0.1934902
parameter_id,MGP_MLN_074_001
gene_symbol,Zmynd8
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
