parameter_name,Retina (combined)
pvalue,0.4917375
analysis_id,se9gzmw29xwr634
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
