parameter_id,IMPC_XRY_007_001
gene_symbol,Rab13
parameter_name,Clavicle
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6192534
analysis_id,z4q3963295k198n
gene_accession_id,MGI:1927232
