parameter_name,Body position
pvalue,0.6974531
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_id,ESLIM_008_001_001
analysis_id,4md9549334ztw90
mouse_strain,C57BL
