analysis_id,77680m1mz6y6p52
pvalue,0.6206588
mouse_life_stage,E9.5
parameter_name,Breath rate during sleep standard deviation
gene_symbol,Dmap1
parameter_id,JAX_SLW_014_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
