parameter_name,Percent time in light
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
parameter_id,IMPC_LDT_008_001
mouse_strain,C57BL
analysis_id,96795ui58i59q9h
gene_symbol,F2
pvalue,0.9854355
