analysis_id,929b575k55kuv44
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:1922745
gene_symbol,Morn5
pvalue,0.3146944
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
