parameter_name,NK cell number
pvalue,0.2098832
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
analysis_id,g1468j423329b88
gene_symbol,Zyg11b
parameter_id,MGP_PBI_027_001
mouse_strain,C57BL
